HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458913.89948,2020-03-05.3999269,bk,1.58,16.060,13.134,0.015,20.239,0.282,g
2458913.90071,2020-03-05.4011556,bk,1.54,16.022,13.105,0.016,20.792,0.294,g
2458915.78196,2020-03-07.2822324,bG,1.43,15.789,13.121,0.020,20.497,0.363,g
2458915.78323,2020-03-07.2835067,bG,1.52,15.718,13.066,0.020,21.553,0.387,g
2458915.78451,2020-03-07.2847828,bG,1.41,15.808,13.151,0.020,19.945,0.358,g
2458916.77727,2020-03-08.2774444,bG,1.45,15.731,13.107,0.021,20.754,0.380,g
2458916.77855,2020-03-08.2787253,bG,1.45,15.623,13.148,0.023,20.001,0.419,g
2458916.77982,2020-03-08.2800003,bG,1.46,15.708,13.128,0.021,20.363,0.393,g
2458918.76387,2020-03-10.2638541,bk,1.40,15.463,13.116,0.026,20.597,0.485,g
2458918.76508,2020-03-10.2650699,bk,1.48,15.426,13.191,0.029,19.209,0.500,g
2458919.81683,2020-03-11.3167277,bk,1.58,15.669,13.166,0.022,19.659,0.398,g
2458919.81805,2020-03-11.3179486,bk,1.53,15.614,13.208,0.024,18.924,0.417,g
2458919.81929,2020-03-11.3191824,bk,1.43,15.641,13.200,0.023,19.048,0.408,g
2458920.81789,2020-03-12.3176820,bk,1.41,15.731,13.274,0.024,17.803,0.379,g
2458920.81911,2020-03-12.3189061,bk,1.48,15.786,13.228,0.021,18.578,0.359,g
2458920.82034,2020-03-12.3201336,bk,1.41,15.764,13.195,0.022,19.138,0.370,g
2458921.82904,2020-03-13.3287406,bk,1.40,15.902,13.261,0.020,18.002,0.326,g
2458921.83027,2020-03-13.3299625,bk,1.46,15.867,13.221,0.020,18.681,0.337,g
2458921.83148,2020-03-13.3311822,bk,1.36,15.793,13.238,0.021,18.403,0.355,g
2458922.83401,2020-03-14.3336144,bG,1.49,13.426,>13.426,99.990,9.435,3.097,g
2458922.83529,2020-03-14.3348909,bG,1.54,13.655,>13.655,99.990,11.174,2.510,g
2458922.83657,2020-03-14.3361708,bG,1.57,14.311,13.103,0.073,20.826,1.379,g
2458923.75332,2020-03-15.2528380,bG,1.45,15.786,13.199,0.021,19.090,0.364,g
2458923.75461,2020-03-15.2541164,bG,1.41,15.773,13.225,0.021,18.630,0.365,g
2458923.75588,2020-03-15.2553987,bG,1.43,15.779,13.191,0.020,19.212,0.362,g
2458924.81328,2020-03-16.3126998,bG,1.54,15.967,13.202,0.018,19.017,0.309,g
2458924.81455,2020-03-16.3139634,bG,1.50,15.986,13.225,0.018,18.635,0.303,g
2458924.81582,2020-03-16.3152373,bG,1.47,15.960,13.244,0.019,18.296,0.311,g
